"Id";"代号";"封装";"数量";"名称";"供应商和REF";
1;"LCD1";"IPS1.3'240x240";1;"IPS1.3'240x240";;;
2;"LCD2";"IPS1.14'240x135";1;"IPS1.14'240x135";;;
3;"U1";"ESP32-WROOM";1;"ESP32-WROOM";;;
4;"REF**";"WEEE-Logo_4.2x6mm_SilkScreen";1;"WEEE-Logo_4.2x6mm_SilkScreen";;;
5;"REF**";"KiCad-Logo2_8mm_SilkScreen";1;"KiCad-Logo2_8mm_SilkScreen";;;
6;"REF**";"OSHW-Logo_11.4x12mm_SilkScreen";1;"OSHW-Logo_11.4x12mm_SilkScreen";;;
7;"RN3,RN2,RN1";"R_Array_Concave_4x0402";3;"10K";;;
8;"J7";"PWR_BTN";1;"GND";;;
9;"SW3,SW2";"PCB_BTN";2;"SW_Push";;;
10;"J6";"JS-910B-4MM";1;"GND";;;
11;"J3";"JS-910B-4MM";1;"VIN-";;;
12;"J2";"JS-910B-4MM";1;"VIN+";;;
13;"SW1";"RotaryEncoder_Alps_EC11E-Switch_Vertical_H20mm";1;"Rotary_Encoder_Switch";;;
14;"U4";"SOIC-8_3.9x4.9mm_P1.27mm";1;"SP3485EN";;;
15;"R15,R14,R12,R11";"R_0402_1005Metric";4;"4.7K";;;
16;"R13,R7,R4,R3";"R_0402_1005Metric";4;"1K";;;
17;"Q4,Q2,Q1";"SOT-23";3;"S8050";;;
18;"J5";"Molex_CLIK-Mate_502386-0470_1x04-1MP_P1.25mm_Horizontal";1;"CON2";;;
19;"C9,C8,C3,C2,C1";"C_0402_1005Metric";5;"0.1uF";;;
20;"J4";"Molex_CLIK-Mate_502386-0470_1x04-1MP_P1.25mm_Horizontal";1;"CON1";;;
21;"U3";"SOT-23-8";1;"INA219";;;
22;"R10";"R_2512_6332Metric";1;"0.1";;;
23;"J1";"PinHeader_2x03_P2.54mm_Vertical";1;"Debug";;;
24;"U2";"SOT-223";1;"AMS1117-LDO";;;
25;"R9,R6";"R_0402_1005Metric";2;"10";;;
26;"R8,R5,R2,R1";"R_0402_1005Metric";4;"10K";;;
27;"D1";"LED_0603_1608Metric";1;"LED";;;
28;"C7,C5";"C_0603_1608Metric";2;"1uF";;;
29;"C6,C4";"C_0603_1608Metric";2;"10uF";;;
